State,Location,Male,Female,Total
United States,UNITED STATES,49.20%,50.80%,100.00%
Alabama,ALABAMA,48.20%,51.80%,100.00%
Alaska,ALASKA,51.80%,48.20%,100.00%
Arizona,ARIZONA,49.50%,50.50%,100.00%
Arkansas,ARKANSAS,49.00%,51.00%,100.00%
California,CALIFORNIA,49.70%,50.30%,100.00%
Colorado,COLORADO,50.30%,49.70%,100.00%
Connecticut,CONNECTICUT,49.10%,50.90%,100.00%
Delaware,DELAWARE,48.60%,51.40%,100.00%
District of Columbia,DISTRICT OF COLUMBIA,47.30%,52.70%,100.00%
Florida,FLORIDA,48.80%,51.20%,100.00%
Georgia,GEORGIA,48.30%,51.70%,100.00%
Hawaii,HAWAII,48.90%,51.10%,100.00%
Idaho,IDAHO,50.40%,49.60%,100.00%
Illinois,ILLINOIS,49.20%,50.80%,100.00%
Indiana,INDIANA,49.50%,50.50%,100.00%
Iowa,IOWA,49.90%,50.10%,100.00%
Kansas,KANSAS,49.80%,50.20%,100.00%
Kentucky,KENTUCKY,49.10%,50.90%,100.00%
Louisiana,LOUISIANA,48.30%,51.70%,100.00%
Maine,MAINE,49.10%,50.90%,100.00%
Maryland,MARYLAND,48.20%,51.80%,100.00%
Massachusetts,MASSACHUSETTS,49.00%,51.00%,100.00%
Michigan,MICHIGAN,49.40%,50.60%,100.00%
Minnesota,MINNESOTA,50.20%,49.80%,100.00%
Mississippi,MISSISSIPPI,48.00%,52.00%,100.00%
Missouri,MISSOURI,49.10%,50.90%,100.00%
Montana,MONTANA,50.00%,50.00%,100.00%
Nebraska,NEBRASKA,50.40%,49.60%,100.00%
Nevada,NEVADA,50.00%,50.00%,100.00%
New Hampshire,NEW HAMPSHIRE,49.80%,50.20%,100.00%
New Jersey,NEW JERSEY,49.10%,50.90%,100.00%
New Mexico,NEW MEXICO,49.30%,50.70%,100.00%
New York,NEW YORK,48.70%,51.30%,100.00%
North Carolina,NORTH CAROLINA,48.50%,51.50%,100.00%
North Dakota,NORTH DAKOTA,50.50%,49.50%,100.00%
Ohio,OHIO,49.20%,50.80%,100.00%
Oklahoma,OKLAHOMA,49.40%,50.60%,100.00%
Oregon,OREGON,49.50%,50.50%,100.00%
Pennsylvania,PENNSYLVANIA,49.10%,50.90%,100.00%
Rhode Island,RHODE ISLAND,48.80%,51.20%,100.00%
South Carolina,SOUTH CAROLINA,48.00%,52.00%,100.00%
South Dakota,SOUTH DAKOTA,50.80%,49.20%,100.00%
Tennessee,TENNESSEE,48.80%,51.20%,100.00%
Texas,TEXAS,49.40%,50.60%,100.00%
Utah,UTAH,50.50%,49.50%,100.00%
Vermont,VERMONT,49.80%,50.20%,100.00%
Virginia,VIRGINIA,48.60%,51.40%,100.00%
Washington,WASHINGTON,50.00%,50.00%,100.00%
West Virginia,WEST VIRGINIA,49.50%,50.50%,100.00%
Wisconsin,WISCONSIN,49.80%,50.20%,100.00%
Wyoming,WYOMING,50.10%,49.90%,100.00%
Puerto Rico,PUERTO RICO,47.20%,52.80%,100.00%